species,accession,is_focal,prokka_directory,prokka_fna_exists,prokka_fna_bytes,prokka_fna_sha256,prokka_tsv_exists,prokka_tsv_bytes,prokka_tsv_sha256,prokka_faa_exists,prokka_faa_bytes,prokka_ffn_exists,prokka_ffn_bytes,prokka_gff_exists,prokka_gff_bytes,prokka_gff_sha256,cohort_sha256
L. delbrueckii,GCF_000056065.1,False,/home/jovyan/bacterial_genome_article/paper1_results/background_work/prokka/L_delbrueckii/GCF_000056065.1,True,1896095,88925b0f6139c40e25c41df8846a63e5f1d0fa11de2ecc8270cbd510635e32d4,True,128080,2b24eebbcf493b417172fa5e65183672a1f03966bbefe45e62d6f82721ecb3bc,True,618017,True,1734302,True,2356289,e0f2529eab743ade0cc6c18282e5df925a9779cc0f9de72f09b0c8993395f122,9eb1c430adbf703e84b2370e066388b60b70d72b65d14e853d82a6246d4719a4
L. delbrueckii,GCF_002847905.1,False,/home/jovyan/bacterial_genome_article/paper1_results/background_work/prokka/L_delbrueckii/GCF_002847905.1,True,2084926,ce1122876f237f5073c31df0fd9ff7ab412df66bdc2473675f02522a7fb33f83,True,131109,6fa32b2b1278ea302d2debd54dfaa16e119af72860a1b9341f6c7c6cd302cae2,True,681548,True,1878188,True,2565040,5f83a36bc4c80049891ddc2e6157e8ea3613800b67eb136a5569f08fa6935624,9eb1c430adbf703e84b2370e066388b60b70d72b65d14e853d82a6246d4719a4
L. delbrueckii,GCF_003545935.1,False,/home/jovyan/bacterial_genome_article/paper1_results/background_work/prokka/L_delbrueckii/GCF_003545935.1,True,1772783,6774af330a429cbd16d9ec01959620af3245383fa3e1a14b5c3443936252f4c4,True,118944,2adb2a4a7ec34c2138a9b2fcf0a6214d6e44d3af520f4d9d3a0ce94ba0cdd8ba,True,589632,True,1616091,True,2208880,6c42b79e8af7c0cdcf5a88b88186184194fa6f907505f3263980604b6c12972f,9eb1c430adbf703e84b2370e066388b60b70d72b65d14e853d82a6246d4719a4
L. delbrueckii,GCF_004211505.1,False,/home/jovyan/bacterial_genome_article/paper1_results/background_work/prokka/L_delbrueckii/GCF_004211505.1,True,2047055,a0cf7797e1c2ddf232d51330ea60be682be7f470956aea74be7e07c0a558672b,True,128907,9d538e58e800eb4a184a4b2ab6ab16db5a38e19ea7ce0b28cd5a22e0b08f99cf,True,670090,True,1845947,True,2518821,7c2d4c1d79ca1357386fbdcf6ae4c7447a0bdad956683bf7acb62daf6f2b93f4,9eb1c430adbf703e84b2370e066388b60b70d72b65d14e853d82a6246d4719a4
L. delbrueckii,GCF_004211735.1,False,/home/jovyan/bacterial_genome_article/paper1_results/background_work/prokka/L_delbrueckii/GCF_004211735.1,True,1997422,32e9b7a2dfe5d9a662a48bdf26a67cfa61101449ca4e43a087a6ee6f4cbafbfe,True,126043,a7b47555bdc92ae956aeeee5efb14a19899be472599a41fdee805e70f2c5bd8f,True,653187,True,1796240,True,2458876,91d9770f7f05761eb3e8ddf987fd7e4cc8adb17f3e0f68fedafc368dc2af6837,9eb1c430adbf703e84b2370e066388b60b70d72b65d14e853d82a6246d4719a4
L. delbrueckii,GCF_009362855.1,False,/home/jovyan/bacterial_genome_article/paper1_results/background_work/prokka/L_delbrueckii/GCF_009362855.1,True,1816469,fdd68c0e049f4995154ef5be5c15fba2d65f95a5d32f5a54c4fb85f51b8c4543,True,121641,c0ae4d3da0782c69c59a053ac72a7ba700f22cb260daf5e0365b373ba7a8766a,True,603346,True,1655127,True,2261612,294b53d7880a2ffe1ffef924eb3bf780788d6acfc2f255f5e23f085b82af933e,9eb1c430adbf703e84b2370e066388b60b70d72b65d14e853d82a6246d4719a4
L. delbrueckii,GCF_009734125.1,False,/home/jovyan/bacterial_genome_article/paper1_results/background_work/prokka/L_delbrueckii/GCF_009734125.1,True,1884597,547aa3050eacc59d3c6a79bb46a25d5d1a3361a8eb48702fd61e530ecd8bc325,True,126126,d769d87d9c21e09173a5390dba8ecc7e693de626caf24f1d30f1575eb8b8770f,True,613785,True,1724501,True,2340898,56a8ea44fd20b45bb7441c8736f1a4ae433c3726bf583f2328f400d9fddd53d8,9eb1c430adbf703e84b2370e066388b60b70d72b65d14e853d82a6246d4719a4
L. delbrueckii,GCF_014830125.1,False,/home/jovyan/bacterial_genome_article/paper1_results/background_work/prokka/L_delbrueckii/GCF_014830125.1,True,2059435,1046831e665ba5d1347c67bbf050039656416d22df9833bd650d992292f91aef,True,130022,9fd380e2fb8ff75588e7b173872840bc0f1e859bab771d91ae070e5710933925,True,667958,True,1838106,True,2538131,2646dc0ef798135b1f99687562ab630309ad498127b9d5279dd65affc9ef6c56,9eb1c430adbf703e84b2370e066388b60b70d72b65d14e853d82a6246d4719a4
L. delbrueckii,GCF_015377785.1,False,/home/jovyan/bacterial_genome_article/paper1_results/background_work/prokka/L_delbrueckii/GCF_015377785.1,True,1902453,878a9fb5e4707be43c5cfbc6b6755803ecfdf6afd0a36b72427523fdd1945c19,True,127602,6523869e3cce615c0d65753e01c0929be2ca86d1953364ebed1ecef6b67b42a0,True,622545,True,1748591,True,2364299,2443bde6b456e5fef06bfab311f7b54c714b5809418ec45bef2e0c448e06c4a0,9eb1c430adbf703e84b2370e066388b60b70d72b65d14e853d82a6246d4719a4
L. delbrueckii,GCF_019583415.1,False,/home/jovyan/bacterial_genome_article/paper1_results/background_work/prokka/L_delbrueckii/GCF_019583415.1,True,1768706,8059004ed51a493a9c992d5a9c06ff67009e4ff0b66ddbbd17f011f39f1e17cc,True,114780,d764bfa2a8af64a5d5c3f2a2ab53b0ef14822d64e6c76311253595f7a2a39f06,True,589746,True,1618223,True,2188028,d6c9d981267b7d5d8b08df1e715aa7a8efea8e8a88f27c8067e9bde640ed03fc,9eb1c430adbf703e84b2370e066388b60b70d72b65d14e853d82a6246d4719a4
